Date,Time,Open,High,Low,Close,Volume,OpenInt
2017-03-07,14:00:00,11964.21,11975.69,11958.73,11971.78,4607896,0
2017-03-07,15:00:00,11971.78,11973.82,11966.01,11970.07,4225991,0
2017-03-07,16:00:00,11970.07,11970.55,11935.4,11944.48,6897851,0
2017-03-07,17:00:00,11944.28,11976.62,11943.47,11954.82,7906936,0
2017-03-07,18:00:00,11954.85,11967.72,11951.01,11966.14,25802498,0
2017-03-08,10:00:00,11922.86,11979.71,11922.31,11973.49,14060856,0
2017-03-08,11:00:00,11973.54,12017.28,11966.72,12007.55,10300689,0
2017-03-08,12:00:00,12006.66,12016.91,11994.73,12000.06,6104721,0
2017-03-08,13:00:00,12000.06,12003.83,11930.09,11942.45,7753434,0
2017-03-08,14:00:00,11942.45,11989.57,11936.62,11979.37,5882186,0
2017-03-08,15:00:00,11979.37,12005.19,11973.96,11995.59,6394364,0
2017-03-08,16:00:00,11995.51,12011.22,11985.84,11990.13,8755499,0
2017-03-08,17:00:00,11989.16,11989.7,11964.9,11979.02,11422855,0
2017-03-08,18:00:00,11979.02,11986.05,11967.31,11967.31,28439262,0
2017-03-09,10:00:00,11922.96,11962.14,11922.21,11958.99,13865674,0
2017-03-09,11:00:00,11958.89,11960.92,11927.29,11936.04,9002904,0
2017-03-09,12:00:00,11936.12,11945.76,11926.25,11943.55,6938015,0
2017-03-09,13:00:00,11942.89,11945.52,11929.55,11942.89,6334817,0
2017-03-09,14:00:00,11940.93,11943.52,11927.78,11930.89,7609646,0
2017-03-09,15:00:00,11930.93,11978.61,11930.93,11970.2,9690524,0
2017-03-09,16:00:00,11970.2,11973.53,11950.98,11965,8327323,0
2017-03-09,17:00:00,11996.06,12015.1,11962.18,11972.59,18271256,0
2017-03-09,18:00:00,11973.1,11987.6,11971.96,11978.39,26108945,0
2017-03-10,10:00:00,12018.48,12047.12,12007.43,12041.13,14698391,0
2017-03-10,11:00:00,12041.21,12051.98,12032.52,12042.67,9924708,0
2017-03-10,12:00:00,12042.69,12060.33,12040.26,12059.6,8751951,0
2017-03-10,13:00:00,12059.16,12067.07,12053.76,12055.9,5976549,0
2017-03-10,14:00:00,12055.99,12055.99,12039.14,12047.69,7413015,0
2017-03-10,15:00:00,12047.69,12057.47,12034.67,12047.62,7447421,0
2017-03-10,16:00:00,12047.62,12048.34,11976.55,11999.9,12362446,0
2017-03-10,17:00:00,12000.17,12005.6,11950.58,11963.44,12462286,0
2017-03-10,18:00:00,11943.12,11968.72,11940.81,11963.18,31598376,0
2017-03-13,10:00:00,11954.8,11990.1,11950.12,11982.29,11126789,0
2017-03-13,11:00:00,11982.05,11982.33,11958.51,11979.49,6864377,0
2017-03-13,12:00:00,11979.43,11984.7,11972.44,11976.37,6279881,0
2017-03-13,13:00:00,11976.36,11980.24,11962.29,11971.05,5279251,0
2017-03-13,14:00:00,11971.05,11987.74,11969.55,11985.9,3673624,0
2017-03-13,15:00:00,11985.86,12003.41,11982.56,11983.61,5237405,0
2017-03-13,16:00:00,11983.72,12006.01,11983.72,11989.3,7321178,0
2017-03-13,17:00:00,11989.3,11996.49,11983.8,11994.98,7102740,0
2017-03-13,18:00:00,11994.98,12001.02,11988.91,11990.03,25146194,0
2017-03-14,10:00:00,11984.29,11986.03,11966.51,11966.8,16451732,0
2017-03-14,11:00:00,11966.99,11990.55,11965.82,11987.32,11889731,0
2017-03-14,12:00:00,11987.05,11997.27,11975.82,11996.98,8186831,0
2017-03-14,13:00:00,11997.22,11999.65,11980.98,11982.13,4958353,0
2017-03-14,14:00:00,11982.09,11982.88,11930.38,11970.52,8875918,0
2017-03-14,15:00:00,11970.52,12002.75,11970.35,11979.08,8930951,0
2017-03-14,16:00:00,11979.19,11990.01,11957.33,11989.78,8558966,0
2017-03-14,17:00:00,11989.67,11994.43,11976.64,11993.04,10721922,0
2017-03-14,18:00:00,11993.03,11993.41,11980.53,11988.79,29830332,0
2017-03-15,10:00:00,12000.44,12027.05,11988.27,12019.93,17476201,0
2017-03-15,11:00:00,12019.84,12025.51,11988.74,11988.74,15251983,0
2017-03-15,12:00:00,11988.63,11997.7,11977.32,11989.48,6981389,0
2017-03-15,13:00:00,11989.37,11994.95,11983.67,11986.59,5880912,0
2017-03-15,14:00:00,11986.59,11991.71,11984.42,11990.75,5704738,0
2017-03-15,15:00:00,11990.79,12003.9,11983.65,11997.71,6682969,0
2017-03-15,16:00:00,11997.71,12017.01,11997.04,12014.85,7150467,0
2017-03-15,17:00:00,12014.13,12019.37,12007.28,12009.74,8659319,0
2017-03-15,18:00:00,12009.62,12021.65,12009.62,12009.87,30705058,0
2017-03-16,10:00:00,12140.3,12156.44,12102.89,12114.28,22311770,0
2017-03-16,11:00:00,12114.28,12143.32,12114.26,12130.61,12201564,0
2017-03-16,12:00:00,12130.61,12137.23,12122.17,12136.84,7555391,0
2017-03-16,13:00:00,12136.84,12138.06,12106.13,12110.28,6682394,0
2017-03-16,14:00:00,12112.39,12115.01,12076.45,12091.58,8897588,0
2017-03-16,15:00:00,12091.58,12093.42,12064.51,12085.76,8461810,0
2017-03-16,16:00:00,12085.88,12094.52,12061.95,12068.92,9507161,0
2017-03-16,17:00:00,12068.74,12072.59,12046.07,12070.01,11033178,0
2017-03-16,18:00:00,12070.04,12088.16,12059.15,12083.18,36377407,0
2017-03-17,10:00:00,12039.24,12055.21,12018.27,12046.91,31273578,0
2017-03-17,11:00:00,12046.91,12072.4,12046.91,12069.37,10449079,0
2017-03-17,12:00:00,12069.32,12117.9,12067.37,12104.61,18214897,0
